Section,Media (NA or SDA),"Media additive (none, cyc, or amp)",Inside or Outside,Exposure duration (min),Days of incubation,# Mold-looking colonies (have hyphae) ,"# Non-mold-looking colonies (e.g., no hyphae) ",Total # colonies,Group Name,Notes
A03,NA,Cycloheximide 0.0004%,outside,1,2,0,14,14,KimWipes,"Ant on lid, not underneath lid or on plate though"
A03,NA,Cycloheximide 0.0004%,outside,1,2,1,15,16,The Kimwipes,Exposed during passing period
A03,NA,Cycloheximide 0.0004%,inside,10,2,0,3,3,,
A03,NA,Cycloheximide 0.0004%,inside,10,2,0,7,7,,
A03,NA,Cycloheximide 0.0004%,outside,10,2,0,50,50,Hyphae,An ant was near plate and we were all near the plate while waiting
A03,NA,Cycloheximide 0.0004%,outside,10,2,2,57,59,Hyphae,Group members were talking/gathered near the plates
A03,NA,Cycloheximide 0.0004%,inside,30,2,0,22,22,Microbial Misfits,
A03,NA,Cycloheximide 0.0004%,inside,30,2,0,17,17,Microbial Misfits,
A03,NA,Cycloheximide 0.0004%,outside,30,2,0,227,227,,
A03,NA,Cycloheximide 0.0004%,outside,30,2,0,202,202,,
A03,SDA,AMP 50ug,inside,1,2,1,0,1,MEHK,
A03,SDA,AMP 50ug,inside,1,2,0,1,1,MEHK,The plates were on the counter by the sink. There wasn't a lot of foot traffic because all four of us were standing around the counter as the time was running
A03,SDA,AMP 50ug,outside,1,2,3,0,3,KimWipes,
A03,SDA,AMP 50ug,outside,1,2,2,0,2,KimWipes,
A03,SDA,AMP 50ug,inside,10,2,1,0,1,Kick,
A03,SDA,AMP 50ug,inside,10,2,0,0,0,KIck,Data for Kevin (was absent)
A03,SDA,AMP 50ug,outside,10,2,53,2,58,Hyphae,
A03,SDA,AMP 50ug,outside,10,2,48,3,51,Hyphae,
A03,SDA,AMP 50ug,inside,30,2,4,0,4,Microbial Misfits,plates were exposed at the back corner where microwave is. 
A03,SDA,AMP 50ug,inside,30,2,3,1,4,Microbial Misfits,"Dropped the lid when taking it off at the start of the timing, might've been why there was 1 non-mold-like colony"
A03,SDA,AMP 50ug,outside,30,2,111,6,117,,
A03,SDA,AMP 50ug,outside,30,2,230,16,246,Micro Bros,Ant walked over the plate during the last 4 minutes before pick up unknown if anymore walked over it before
A04,NA,cyc,inside,1,2,0,1,1,BacUp,someone opened the door during our exposure. Wind blew directly at the plates.
A04,NA,cyc,inside,1,2,0,1,1,BacUp,"placed on the nearest corner of the 1st table by the door of room 2098 in the Katherine Esau Building, opening of the door brought in noticable wind/draft"
A04,NA,cyc,outside,1,2,0,91,91,Group # Two,"Place on the soil, center island in the middle of the road, three cactus beside, one dead, one dying and one alive. "
A04,NA,cyc,outside,1,2,0,110,110,Group # Two,"Place on the soil, three cactus beside, one dead, one dying and one alive. "
A04,NA,cyc,inside,10,2,0,1,1,SALTY,"Inside 2098 Esau Lab Building, next to the window on the counter, back right center vent (KC)"
A04,NA,cyc,inside,10,2,0,5,5,SALTY,"Inside 2098 Esau Lab Building, next to the window on the counter, back right center vent (RN)"
A04,NA,cyc,outside,10,2,12,81,93,Group 4,placed on the ground under a branch that was swaying due to light breeze
A04,NA,cyc,outside,10,2,6,81,87,Group 4,placed on the ground under a branch that was swaying due to light breeze
A04,NA,cyc,inside,30,2,0,3,3,KAMM,towards the back of the class on the counter-top underneath the shelves where books are stored
A04,NA,cyc,inside,30,2,0,11,11,KAMM,towards the back of the class on the counter-top underneath the shelves where books are stored
A04,NA,cyc,outside,30,2,35,116,151,Magic 4,On a cinderblock above ground cover
A04,NA,cyc,outside,30,2,8,134,142,Magic 4,On a cinderblock above ground cover
A04,NA,cyc,outside,30,2,1,116,117,Magic 4,outside in foilage
